Date,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6/1,0,0,0,0,0,0,0,0,0,2.9,3.2,3.3,3.25,0,0,0,0,0,0,1.428571429,2.895348837,0,0,0,0,0,0,3.243243243,0,0,4,5.148802604,6.787878788,1.33,1
6/2,1.15,0,0,0,2.963414634,0,2.1,0,0,3.85,1.6,2.672,9.75,0,0,0,0,0,1.463414634,11.21254355,1.5,0,0,0,2.857142857,0,2.823920266,1.538461538,0,0,10.57392027,9.337743002,9.160653716,0,2
6/3,0,0,0,0,0,0,0,0,0,10.4,2.5,0.528,4.75,2.4,0,0,0,0,0,16.65821983,2.858763471,1.395348837,0,0,0,1.5,1.395348837,2.974296206,0,0,24.56059643,0,14.57971014,1.36,2
6/4,0,0,2.93,0,0,0,0.7,0,0,3.2,1.7,0.835,17.075,4.5,5.8,0,0,0,0,5.820557491,5.654101996,0,0,1.363636364,0,2.891986063,2.857142857,3.120851983,1.304347826,0,23.40950041,5.081623347,8.936170213,2.7,6
6/5,0,0,1.43,5.095238095,1.875,0,1.4,1.2,0,7.9,11.2,3.315,12.025,4.4,6.8,0,1.46,4.090909091,4.154334038,8.641114983,5.719269103,4.252491694,2.857953164,1.428571429,0,5.803135889,0,8.912228057,0,0,22.9119098,4.441558442,13.17160145,0,1
6/6,0,0,1.46,3.293233083,0,0,1.46,2.5,1.6,11,15.1,1.62,18.9,0,7.3,0,5.82,1.463414634,7.050860276,4.320557491,4.288145207,1.395348837,3.573049186,0,1.395348837,6.62369338,1.395348837,11.34048122,0,0,6.881606765,10.77245506,7.451150673,0,0
6/7,2.02,0,4.5,4.505776637,2.790697674,1.67,2.73,5.9,0,5.4,1.6,10.39,18.725,1.5,0,0,2.92,0,2.727272727,11.1627907,4.39722501,4.391986063,0,1.5,0,7.212543554,1.463414634,15.84046713,0,0,17.77896982,18.24637681,18.47001934,2.7,8
6/8,2.5,0,0,16.35271318,22.06108559,6.51,4.25,1.8,3.1,7.7,5,14.59,5.875,7.2,2.9,1.43,0,0,2.963414634,11.10864745,12.61355749,11.42857143,1.463414634,2.891986063,5.603646742,4.37456446,0,16.3136747,0,2.448979592,23.05074918,6.56837896,10.58810693,0,0
6/9,6.24,0,1.28,9.123185544,14.40990991,8.58,4.52,1.3,6.2,28.5,4.9,1.67,14.55,1.5,1.5,0,1.46,0,17.61471861,35.60737976,29.74047091,7.090062112,1.428571429,4.220779221,9.971760797,4.5,1.395348837,4.062015504,1.304347826,1.304347826,28.38196741,16.71594558,25.26474282,1.36,8
6/10,4.91,0,0,20.45628625,5.326829268,15.31,8.12,0,7.4,15.6,1.7,9.96,20.2,14.5,7.5,0,4.39,2.517482517,15.32395845,24.73665274,5.714285714,18.97101342,0,7.182451695,16.17459746,7.180941577,1.428571429,2.792207792,1.621621622,2.554347826,33.86637659,12.88002474,11.914361,2.67,9
6/11,4.62,0,0,17.75507175,21.3635255,4.29,13.91,2.9,21,3.2,0,9.73,24.6,2.9,1.5,2.93,11.2,2.928571429,7.728682171,16.0058072,42.82673649,42.39814414,4.320557491,4.203425013,4.220779221,12.17119017,4.252491694,5.345399282,1.463414634,1.304347826,30.30560072,15.04804139,17.56060606,5.67,12
6/12,12.52,0,0,21.81177565,18.23276879,8.67,13.6,0,21.5,20.2,6.7,17.46,18.9,29.7,1.5,0,1.46,1.428571429,23.35271574,25.71327388,28.84160147,26.56318634,4.391986063,6.94654183,5.581395349,10.13937282,5.74912892,2.699696663,0,1.304347826,25.95436324,12.34179875,20.72388781,2.79,17
6/13,2.69,0,0,13.44517755,11.00375235,11.41,5.64,1.6,20.7,13.9,16,16.14,33.4,10,6.7,1.5,0,0,18.54842832,26.78483793,26.73050647,18.92356735,15.43343327,2.926829268,9.909724422,8.405315615,11.16884099,9.79377519,0,11.8780995,37.09887208,15.06765328,10.88311688,2.67,24
6/14,5.37,0,1.46,20.97407942,2.967032967,27.01,2.45,1.5,18.3,9.5,52.1,9.72,44.8,1.4,8.7,1.5,1.36,0,26.40865752,22.02652774,42.62525658,36.61002737,14.97674419,9.663793012,6.957132299,10.42769482,8.341890667,13.68508606,1.276595745,9.946073475,24.14527994,11.93736403,20.29103184,4.03,22
6/15,16.8,0,8.82,10.07803257,8.018263252,18.78,8.61,1.4,10.9,22.2,14.9,3.2,15.6,8.8,12.7,4.39,0,2.758985201,37.85325274,36.40120234,41.76895243,12.32608696,28.07723577,17.23348923,32.83013145,32.72753231,30.61213377,14.6315182,4.260162602,4.222222222,24.8139659,20.78787879,22.31818182,8.26,33
6/16,14.04,0,19.95,11.16883117,8.173469388,7.15,11.46,2.8,21,16.9,12.9,3.2,26,24.2,1.5,7.29,1.46,0,16.09090909,27.61937591,52.95037959,50.30628622,19.0757764,2.928571429,19.3248865,56.88509187,39.43231862,19.73369874,12.63931104,12.73563218,8.04131157,28.07654048,12.12121212,7.75,16
