year,N
1976,187910
1977,347576
1978,241159
1979,233989
1980,358448
1981,307931
1982,172512
1983,148236
1984,172329
1985,143784
1986,123767
1987,185652
1988,205050
1989,214030
1990,266729
1991,210919
1992,259043
1993,274699
1994,403431
1995,371257
1996,309632
1997,296105
1998,184341
1999,159861
2000,129109
2001,205477
2002,226323
2003,232559
2004,366840
2005,327299
2006,326544
2007,244114
2008,210784
2009,190966
2010,114146
2011,113548
2012,79210
2013,84430
2014,84444
2015,125106
2016,128696
2017,133178
2018,132312
